MeanAD-A5,MeanAD-D4,MeanAD-D3,MedianAD-A5,Energy-A5,MedianAD-D5,Energy-D5,MedianAD-D4,Energy-D4,MedianAD-D3,Energy-D3,Kurt-A5,Kurt-D5,Skew-D4,frequence,target
0.4781975563131493,0.08601982157689925,0.03805562160160202,0.6379632733823288,265202.6168085197,0.18763301285777562,124.55784023258039,0.11855665594802607,65.1702202645927,0.05119404560548653,26.593132256252503,-0.7247533859392683,-0.36339793167927503,-0.0670634235423772,30,0
0.4753441153696951,0.08582107934289016,0.03798587562048202,0.6417051998382249,265146.5961300713,0.18501242850086716,122.21734787754161,0.11976577138320946,64.52522882293195,0.051160530533100546,26.296542358023046,-0.7416943226003285,-0.3506192026583874,-0.06265655546335429,30,0
0.480316668753522,0.08542770750629164,0.03799419280554307,0.655419627704058,265173.6757937748,0.18415899685673576,122.7021940251734,0.11791471092591382,64.366580138745,0.05151578319961771,26.373235749959907,-0.7701832333475682,-0.3888301828742984,-0.05413551872997365,30,0
0.47118995243842754,0.08380491630171448,0.037056800720322754,0.5983114703760792,263826.3874595314,0.1769823828362337,117.52682696691946,0.11559056019435412,61.91070223388978,0.04958337961479668,25.154779895972453,-0.557661836448279,-0.32149694936058326,-0.059187810303152344,30,0
0.47034172957723863,0.08331390218080015,0.037002738990310355,0.6078635507793752,263950.0432099411,0.17718662779965447,117.40192537562665,0.11674332671992896,61.14072377066067,0.049381185420178914,25.05817816720644,-0.5422387543533254,-0.3242861760285214,-0.07399892197104324,30,0
0.47394701074248746,0.08347575781769266,0.03703243829269453,0.6013523422502597,263931.87951729493,0.17752518252411406,116.54670778555162,0.11602677564643592,61.621218681863056,0.04920242220106147,25.2298407385707,-0.5419045970072038,-0.3127524468153151,-0.0731287163619476,30,0
0.4697659277539552,0.08350308147869634,0.03683612776090849,0.6209328541548285,263887.7168610788,0.17776526558470535,116.4276682767874,0.11520176563548995,61.491873091194634,0.049660988361460524,24.912496089881394,-0.6478209035445528,-0.29939545133156376,-0.05884683691560963,30,0
0.4689280683473741,0.08362595939275547,0.036898608462709724,0.6171999862521039,263836.8377581757,0.17891248618075756,116.97932725647846,0.11530974064152802,61.28683936551701,0.04948652543327333,25.002889526032263,-0.6371613204611855,-0.30551712689071175,-0.07396748846237254,30,0
0.47020302221083343,0.08346298318326713,0.03683560602432729,0.6207958999026364,263905.6615566482,0.177340445780996,116.85118977479729,0.1173191292199551,61.357314528834245,0.049546668011786296,24.84363360841346,-0.6571641561899377,-0.32151676870578827,-0.06811834983712532,30,0
0.46868422997501163,0.08352250457823057,0.03694003042141853,0.6205187523881499,263806.467081705,0.18132338336489956,116.25472670606653,0.11517405138102187,61.16784617532812,0.04969652995305924,24.98213622863895,-0.6638095832588706,-0.32691519040004824,-0.059270691003193515,30,0
0.4666631846640965,0.08310590068255005,0.03684844718993774,0.616156692248635,263896.57559507724,0.18001318951192677,116.36515202006065,0.11697444396502321,60.8889398940441,0.04911362559721047,24.884848784040543,-0.6655444470963712,-0.33633276019630687,-0.05906867772923041,30,0
0.4661151243022045,0.08295179182782254,0.03663313648580252,0.6272690866283018,264261.9480189407,0.17927858375938294,115.67305223031975,0.11587916506682025,60.443616523804415,0.04918569779042389,24.55170912726534,-0.7229436661466426,-0.354644486477492,-0.06298892843457903,30,0
0.4658953812096399,0.0827896046986268,0.036632257544294604,0.6161745597668473,263976.07184778445,0.17924639398511977,116.3531819599641,0.1153681258618163,60.47692852565659,0.04934429281577239,24.509390265146568,-0.7208195494582745,-0.3566867822236728,-0.05400979100884454,30,0
0.46704251699408195,0.08298112439097682,0.036550031073585,0.6157364494298238,264064.93885294936,0.17874048852606503,116.38020526730739,0.11425509947382861,60.50326329898373,0.048863646692679424,24.59191199318205,-0.7013800166633715,-0.3327157697266987,-0.061475712247892174,30,0
0.46692675719917154,0.0830057877186746,0.036520820406694375,0.6277283038861986,264136.8904634422,0.1773134120515679,116.26587769384331,0.11655332317877928,60.62773335914801,0.04920973802122073,24.397029488575523,-0.7398966587458733,-0.3464114402212868,-0.05925373144188899,30,0
